Initiative,Response,Count
heard_air_travel,No,19
heard_air_travel,Yes,2
heard_eth_sus,No,7
heard_eth_sus,Yes,14
heard_net_zero,No,9
heard_net_zero,Yes,12
heard_net_zero_day,No,17
heard_net_zero_day,Yes,4
heard_sdg_lecture,No,14
heard_sdg_lecture,Yes,7
heard_sus_gastronomy,No,14
heard_sus_gastronomy,Yes,7
